uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2018;sum;100000.0
AC;MICRO;INDUSTRIA;BNDES FINAME;1995;count;3.0
AC;MICRO;INDUSTRIA;BNDES FINAME;1995;sum;185310.6
AC;MICRO;INDUSTRIA;BNDES FINAME;1997;count;1.0
AC;MICRO;INDUSTRIA;BNDES FINAME;1997;sum;47700.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2000;count;3.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2000;sum;137264.39
AC;MICRO;INDUSTRIA;BNDES FINAME;2001;count;2.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2001;sum;59300.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2003;count;2.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2003;sum;280000.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2005;count;1.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2005;sum;154800.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2006;count;2.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2006;sum;424652.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2007;count;5.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2007;sum;1001984.8
AC;MICRO;INDUSTRIA;BNDES FINAME;2008;count;5.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2008;sum;813356.8500000001
AC;MICRO;INDUSTRIA;BNDES FINAME;2009;count;3.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2009;sum;407629.02999999997
AC;MICRO;INDUSTRIA;BNDES FINAME;2010;count;4.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2010;sum;1029100.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2011;count;14.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2011;sum;2929818.05
AC;MICRO;INDUSTRIA;BNDES FINAME;2012;count;15.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2012;sum;2752540.25
AC;MICRO;INDUSTRIA;BNDES FINAME;2013;count;23.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2013;sum;5003759.4
AC;MICRO;INDUSTRIA;BNDES FINAME;2014;count;4.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2014;sum;842338.56
AC;MICRO;INDUSTRIA;BNDES FINAME;2015;count;2.0
AC;MICRO;INDUSTRIA;BNDES FINAME;2015;sum;663300.0
AC;MICRO;INFRAESTRUTURA;BNDES AUTOMÁTICO;2004;count;1.0
